Country,GDP per capita,Life satisfaction
Greece,30487.113,5.8
Latvia,34225.9,6.2
Hungary,36119.52,6.0
Portugal,36852.23,5.8
Poland,37852.8,6.1
Estonia,40920.527,6.5
Spain,41553.45,6.5
Slovenia,42463.562,6.5
Israel,42915.94,7.2
Japan,42992.48,6.1
Lithuania,43091.797,6.4
Czechia,45119.938,6.9
Italy,45505.07,6.5
New Zealand,46266.395,7.3
United Kingdom,47158.984,6.8
France,49311.332,6.7
Canada,54092.88,7.0
Finland,55424.86,7.9
Australia,57260.465,7.1
Belgium,57333.543,6.8
Iceland,59543.812,7.6
Sweden,59975.363,7.3
Germany,60203.29,7.3
Austria,60276.414,7.2
Netherlands,64862.19,7.5
Denmark,65744.44,7.5
United States,67342.07,7.0
